,标题,总价格,单价,地段,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,"
                                  ","
                                      ","
                              ",挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,别墅类型
280,新上！地铁口，古北总价低全明大一房，采光好,345,65132,"['闵行', '金虹桥']",古北虹苑（一期）,1室1厅1厨1卫,高楼层 (共6层),52.97㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202409365711,新上！地铁口，古北总价低全明大一房，采光好,适宜年轻的刚需客，上班族，单身或小夫妻；地铁口，交通方便，上班出行方便；楼层高，采光好可锻炼身体。,一梯两户南北通，卧室朝南带阳台，客厅面积大，朝北带阳台，卫生间朝西，厨房朝北,商场：古北1699，古北高岛屋；医院：上海六院，瑞金医院古北分院，武警医院；公园：古北步行街，梦公园，虹桥公园。,地铁：15号线姚虹路地铁站；10号线宋园路站；公交：113号，149号，上青线，虹桥社区巴士,,
281,9号线合川路站300米，带露台，税费很少很少，少的可怜,818,88827,"['闵行', '静安新城']",九歌茗园,2室2厅1厨2卫,低楼层 (共13层),92.09㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,无抵押,非共有,已上传房本照片,202308631737,东边套多一个窗，带露台，小区历史单价蕞低的一套两房,2004年建成，整个小区不大，只有16栋楼，物业管理严谨，适合喜欢安静的客户群体。,此房业主买进价高，税费很少很少，只有几万块，适合手里现金不足的客户群体,业主几年前买进结婚用的婚房，婚后事业蒸蒸日上，现在要改善一下居住环境置换一套三房,此房满五年，没有增值税跟个税，首套契税1.5，二套契税3个点,9号线合川路地铁站约280米，小区门口公交有113、89、764、205、虹桥镇2号。1.6公里到外环，1.6公里到中环，2公里到延安高架，坐地铁，乘公交还是自驾都可以。,
282,楼层好 光线充足  没有个税 诚意卖,399,49627,"['闵行', '颛桥']",鑫都城云天绿洲,2室1厅1厨1卫,中楼层 (共17层),80.4㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,有,暂无数据,无抵押,非共有,已上传房本照片,202408826080,无增值税个税 诚意卖  价格可以谈,小区一路之隔就是航天研究院、里面的住户航天科技人才居多，小区24小时安保，贴心物业每天定时楼道打扫，我们大部分客户对这个小区都很认可，在这个人群居住繁华的地段，居住人群的整体素质往往会影响一个人甚至一个家庭！鑫都城板块仅有的3个商品房小区之1,小区门口就是闵行17路、闵行14路公交车直达颛桥5号线颛桥地铁站、747路直达上海南站。开车出行西边是中春路、东边是沪闵路南北贯通。上嘉闵高架和申嘉湖高速1.8公里。交通便利，出行方便。,,,,
283,六村次顶楼稀有边套，价格可谈，诚意出售,238,40922,"['闵行', '华漕']",爱博六村,1室1厅1厨1卫,高楼层 (共13层),58.16㎡,平层,45.42㎡,板楼,南,钢混结构,毛坯,一梯四户,有,暂无数据,无抵押,非共有,已上传房本照片,202408903454,此房边套户型，并且还是次顶楼，采光好，毛胚出售，方便装修,爱博六村位于上海市闵行华漕，申长北路185弄，由长宁集团建成，总建筑面积31.4万平方米，总占地面积12.3万平方米，共计房屋1559户，小区物业公司为上海诸翟物业管理有限公司。全部为电梯房，主力户型从一房到三房都有，符合我们不同需求。,小区方圆3公里大型商场：龙湖天街、新华联购物广 场150米 良华购物广 场100米、虹桥天地、大润发、绿地旭辉、丰尚国际、等购物娱乐观影地点 医院：小区300米社区医院，3.5公里复旦大学附属华山医院，新虹桥国际医学中 心 。沿街商铺，菜场，银行，酒店等,不满五年唯 一，增值税5.3%，个税一个点；契税首套一个点，二套三个点。2020年产证，25年六月满五,高铁+地铁：距离虹桥火车站，地铁站1.5km（数据来自百度地图），可换乘2号线、10号线、17号线。 2. 公交站：173路、190路、189路、闵行18路、闵行23路、闵行28路、141路、虹桥商务区1路 ； 3. 驾车：北翟、嘉闵高架。318国道、崧泽大道、G15沈海高速。,,
284,优诗美地园中园式设计住宅 南北四房,1220,85507,"['闵行', '七宝']",万科优诗美地,4室2厅1厨2卫,中楼层 (共5层),142.68㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202308304972,此房南北四房三房朝南一房朝北客厅餐厅,"万科优诗美地 小区被绿化带分成8个苑,分别是华星苑、高翔苑、冠云苑、玲珑苑、亲水苑、近湖苑、涵碧苑和浮翠苑。每个苑都由两栋楼组成，有自己独立的两个苑门，近沪星路的三个苑（华星、高翔、冠云）是小高层，一梯4户，总高11层。",有闵行文化公园，闵行体育公园，万科广场，汇宝广场，多路公交车，9号线地铁，10号线地铁，12号线出行方便,"地铁:9号线七宝站、10号线航中路站 公交:万科城市花园(709路)、七莘路吴中路(748路7宝2路)、七宝(七莘路漕宝路,轨道交通9号线七宝站)(7宝2路虹桥枢纽4路189路748路87路)",,,
285,双南，非顶楼，不靠马路，得房率高,265,42285,"['闵行', '莘庄北广场']",西环三村,2室1厅1厨1卫,高楼层 (共6层),62.67㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409359573,两个卧室朝南，户型方正，非顶楼，业主诚意出,西环三村共31栋550户人家，户型面积段较多，已经做过美丽家园改造，且有健身设施和休闲广场！,小区出门就是莘谭路，莘谭路为莘庄老街，衣食住行方便，小区方圆一公里有农工商购物，莘松菜市场，龙之梦，丽宝广场，仲盛，百盛，怡丰城，闵行医院，近场东路12号线地铁，紧挨美莘广场！过去方便！小区两边都有通道！,税费情况：普通住宅，已满五年，没有增值税，没有个税，客户首套1%契税，二套3%契税,出门150米有91路、闵行12路、闵行20路、闵行21路、闵行6路、196路等公交车，开往北新泾、莲花路、万源路、莘庄等地,房子产权清晰，没有纠纷，可以随时放心交易，户口可以正常迁入。另外链家十二大安心服务承诺为您的交易保驾护航，请放心购买。,
286,爱博虹桥商务区；Best边套一房，随时看房,229,39375,"['闵行', '华漕']",爱博六村,1室1厅1厨1卫,中楼层 (共13层),58.16㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,有,暂无数据,无抵押,非共有,已上传房本照片,202308756308,此房位于大虹桥商务区域明年年初满五无其他费用,小区楼龄较新，体量小，居住环境安静，物业管理比较严格，小区环境整洁、卫生干净,首付不高，适合资金紧张的客户，房子在在商务区，适合在这里工作的客户,小区方圆3公里大型商场：龙湖天街、良华购物广场、虹桥天地、大润发、绿地旭辉、丰尚国际、等购物娱乐观影地点 医院：4公里有华山医院西院（三甲医院）,新换的产证不满五年；客户若是首套，则契税为1%，若是二套，契税为3%,自驾：嘉闵高架、北翟高架、G50高速、318国道、崧泽大道、G15沈海高速；地铁： 2号线、17号线、10号线、；高铁：虹桥火车站 ；飞机：虹桥机场；公交：闵行28路、闵行18路、189路、189区间、青泸线,
287,莘城苑 2室1厅 南,345,42270,"['闵行', '莘庄北广场']",莘城苑,2室1厅1厨1卫,高楼层 (共6层),81.62㎡,平层,暂无数据,板楼,南,钢混结构,其他,暂无数据,无,暂无数据,有抵押 客户偿还,共有,已上传房本照片,202409345955,,,,,,,
288,近地铁，配套齐全，采光视野好，生活便利,139,28643,"['闵行', '老闵行']",电机一村,2室1厅1厨1卫,高楼层 (共5层),48.53㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202308000818,户型好，装修简洁，出行方便，采光视野好，适合预算适中客户。,总价低，可以拎包入住，适合刚需客户，采光视野很好，适合自住刚需,距离5号线金平路地铁站大概1.2公里左右，江川1路，2路，6路，143路等多路公交。出行方便！距离碧江广场大概900多米，距离第五人民医院大概200多米，配套齐全。,1.自驾：嘉闵高架5.3公里、S32申嘉湖高速2.4公里、S4沪金高速4.4公里 2.公交：江川1路、2路、4路、6路，闵行29路、21路、35路、19路、16路、40路，143路3.地铁：3.距离5号线金平路站1.1公里。北达莘庄、对接1号线，到上海南站、徐家汇；南至奉贤。,,,
289,带花园，全新精装修，保养好，带墙暖，带产权车位。,1200,85868,"['闵行', '七宝']",万科朗润园,3室2厅1厨2卫,低楼层 (共11层),139.75㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,无抵押,非共有,已上传房本照片,202307680640,全新精装修，保养好，带墙暖，户型正气南北，带产权车位。,小区人车分流，环境优美，适合居家生活，电梯房，方便老人小孩，菜市场购物，步行方便。七宝生态小区。看了就会忘返的地方,精装，正南朝向大三居，户型方正，布局紧凑，房屋功能区分明确，采光无遮挡。空气流通性强，两个卧室朝南，一个卧室朝北，主卧带独立卫生间和衣帽间，此房还带一个大花园，景观怡人，居住舒适度高，适应三代同堂居住。,小区环境优美，人车分流的，房子精装修保养好，有电梯，可直通地下车库，方便老人小孩。离9号线地铁也近，还有规划的机场专线跟9号线对接，上班人群也方便，高架出入口也在小区旁边，喜欢自驾的朋友也是不错的选择哦。,小区外面自带门面房，好德便利店，美容美发，果蔬专门店，健身房威尔士一兆韦德， 有乐购和家乐福，购物有凯德，恒顺，巴黎春天，万科广场，汇宝广场，步行可到达。,万科朗润园近地铁9号线中春路站，步行就可以到达，出门就是嘉闵高架，嘉闵高架连通延安西路高架直到市区，近虹桥机场，出行方便。,
290,视野好！双南两房！高区景观楼层1十号线地铁口满五！,408,54847,"['闵行', '龙柏']",龙柏易居公寓,2室1厅1厨1卫,高楼层 (共18层),74.39㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯八户,有,暂无数据,无抵押,非共有,已上传房本照片,202409412094,电梯高层！采光视野无遮挡！经典双南两房！,小区是1998年的商品房小区，属于中小型社区，小区环境干净整洁。双南户型，小区少有户型，业主诚意出售,小区是电梯商品房小区，低总价低单价小区，老少皆宜适合全龄段客户需求,餐饮购物：华润万象城、红星国际广场、韩国街、上疏永辉、卜蜂莲花 菜场：小区出门龙柏红松集贸市场、黄桦路步行街 医院：龙柏社区医院、武警医院 、闵行区中医院 金融：上海、中国、建设、工商银行 交通：10号线龙柏新村站，71路中运量，近虹桥机场和火车站,房子是一手买进，满五年不一。一个点的个人所得税。产权一人，诚意出售，到价签字。,10号线紫藤路地铁站步行553米即到，可以直达市区。10号线不拥挤，畅通无阻。公交71路有轨电车可以直达外滩，出行方便。买菜购物便捷。小区东门出去紫藤路可购买生鲜蔬菜水果。紫藤路农贸市场早上7：00就开门了。小区大门出去即是联华。,
291,夏朵园 精装大两房+看房方便+诚心出售,385,35821,"['闵行', '老闵行']",夏朵园,2室1厅1厨1卫,低楼层 (共14层),107.48㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,无抵押,共有,已上传房本照片,202408925576,"配套齐全，出行方便；
看房方便，拎包入住。",法国设计大师ERIC亲身打造，天然河道+园林景观+4D采光！ 闵南得房率、火热小区双T1！地上地下停车无忧，80元停车低月租！ 2035闵南规划马桥智能科创板块！,"1房龄:2008年新社区，小区环境好; 
2楼层结构:电梯房，户型方正。",以下顺序按照距离远近排序 购物：龙湖星悦荟，满天星生活广场，万达广场，龙湖上海闵行天街 医疗：马桥社区医院，复旦大学附属第五人民医院 银行：中国银行，中国工商银行 菜市场：康品汇生鲜Market，华银坊农贸市场，新安批发市场 娱乐：电影院，KTV，酒吧,5号线+23号线交通配套辐射圈，一杯水的时间即可到达，可转15号线，实现徐汇、市区一轨直达！马桥公交总站，闵行19路，闵行24路，闵行5路，江川2路，马桥1路，闵行30路，闵行29路，马桥万达旁申嘉湖高速入口，嘉闵高架，交通四通八达，闵虹专线可直达虹桥。,,
292,夏朵园大三房，三世同堂其乐融融！采光好！,475,39647,"['闵行', '老闵行']",夏朵园,3室2厅1厨1卫,低楼层 (共17层),119.81㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,无抵押,共有,已上传房本照片,202308793976,此房满五1，2北1南户型，房子精装修保养好，拎包入住!,天然河道+园林景观+4D采光！ 闵南得房率、火热小区双T1！地上地下停车无忧，80元停车低月租！ 2035闵南规划马桥智能科创板块，理财or自住皆U保障！,本房户型好位置佳，得房高，格局分明厅宽阔舒适，适合一家人居住，三世同堂也完全不拥挤。,以下顺序按照距离远近排序 购物：龙湖星悦荟，满天星生活广场，万达广场，龙湖上海闵行天街 医疗：马桥社区医院，复旦大学附属第五人民医院 银行：中国银行，中国工商银行 菜市场：康品汇生鲜Market，华银坊农贸市场，新安批发市场 娱乐：电影院，KTV，酒吧,以下顺序按照距离远近排序 购物：龙湖星悦荟，满天星生活广场，万达广场，龙湖上海闵行天街   公园：闵行科创公园     医疗：马桥社区医院，复旦大学附属第五人民医院 银行：中国银行，中国工商银行 菜市场：康品汇生鲜Market，华银坊农贸市场，新安批发市,,
293,小区位置好，低楼层小2房，空关看房方便,220,47394,"['闵行', '老闵行']",鹤北新村,2室1厅1厨1卫,低楼层 (共6层),46.42㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202408905579,南北两房户型，看房方便，有钥匙，小区中总价低,生活：3公里范围内有龙湖天街、碧江广场、置业广场三大购物商场，鹤庆路有农工商、东方有线 快客 罗森 华尔口腔门诊 医院：距复旦大学附属医院第五人民医院1公里，三级乙等综合性医院。 北面5号线东川路地铁站，北临东川路，南靠鹤庆路。西面安宁路,房屋产权：商品房 税费：满五年，无增值税， 看中还可以谈。。。,1.自驾：距S32申嘉湖高速2公里、S4沪金高速3公里、 2.公交：江川2路、143路，816路、881路、891路、 3.地铁：距离5号线东川路地铁站500米 北达莘庄、对接1号线，到上海南站、南至奉贤 （后期有地铁23号线，闵行开发区到上海体育馆，直达徐家汇）,,,
294,随时交房，满五年，税费少，全明户型，诚意出售。,385,56328,"['闵行', '古美']",古美一村,2室1厅1厨1卫,中楼层 (共6层),68.35㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409469911,随时交房，满五年，税费少，全明户型，诚意出售,小区是1995年的小区，环境优雅，双花园的设计，小区有24小时安保，平时也会有保安巡逻，小区里邻居之间和睦相处，每栋楼都设有楼长，协调邻里关系，维护楼道公共卫生。整个小区已完成美丽家园改造，车位充足且整齐,全明户型，带院子，每个房间都有窗户，无遮挡，北面小区中xin花园，出入方便。该小区是1995年售后公房，板式建筑，小区环境好，居民素质高。,生活配套齐全：百联南方商城、友谊商城 ，莲花国际广场，中庚漫游城，家乐福，平阳菜场 医院：闵行区中xin医院，梅陇卫生院，社区卫生站，复旦大学儿科医院 小区门口东侧是古美图书馆和街道科普活动中xin，有浓厚的人文气息，,,,
295,精装小两房 产权清晰 首付142万起 全明户型 诚意出售,315,59356,"['闵行', '莘庄北广场']",莘松七村,2室1厅1厨1卫,高楼层 (共6层),53.07㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202308592635,精装小两房 产权清晰 首付142万起 全明户型 诚意出售,全明户型，通风好，楼层好，采光好卧室朝南带阳台，小二房适合自住，一梯两户不拥挤,"距 离1号线/5号线1.7公里左右，小区门口就是公交站，有166.700..莘庄2路，20路都可以坐的，出行很便捷。 配套：凯德龙之梦，盒马生鲜（在建），莘松菜市场 医疗：闵行center医院 银行：工商银行,建设银行 等 公园：莘庄公园 梅园 馨园等",权属抵押：房子无贷款，无抵押，产权清晰，业主出售诚意度高，随时可以交易。,离1号线/5号线1.7公里左右，小区门口就是公交站，一站到地铁一号线，五号线，多辆公交往虹桥，徐汇方向，有166.700.196.莘庄2路.1路，闵行5.8.15.20路都可以坐的，出行很便捷,,
296,大虹桥 万科时一区 品质精装 保养好 满五年,790,83634,"['闵行', '华漕']",万科时一区（三期）,3室1厅1厨1卫,低楼层 (共10层),94.46㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,有抵押,非共有,已上传房本照片,202408954205,自住保养 屋况好  全屋品质精装  可拎包入住  满五年 税费少,"15~16年精装交付小区 小区共9栋总户数168户 前后楼间距大 采光无遮挡 
小区配置24H安保、进出需要刷卡、由万科物业管理
绿化40% 种植香樟树、梨树、樱花树、等
小区人车不分流 地面上设置部分停车位","普通住宅 满五年 不唯 一
契税：首套1.5% 二套3%
增值税及其附加税：免征
个税：1%","吃喝玩乐购：新华联国 际中 心（购物中 心、商 业街、商 业法式别墅、商 业酒店、）
丽宝购物中 心、龙湖虹桥天街+虹桥天地购物中 心、开市客、、
医疗：新虹社区卫生服务中 心、复旦大学附属华山医院（三甲）新虹桥国际医学中 心、、、
银行：工农建交中","地铁：三轨交汇（虹桥地铁站）2、10、17号线 
规划建设：机场联络线（预计24年通车）、上海示范线（预计26年 原计划28年）、嘉闵线（预计27年）
区间：71路区间（丰虹路---黄陂北路）公交：商务区1路、闵行23、28路、189+189区间、173路等",,
297,花园位置+阁楼+视野开阔无遮挡+双规交汇地理位置优越,830,62675,"['闵行', '莘庄北广场']",阳明国际花苑五期,3室1厅1厨2卫,高楼层 (共6层),132.43㎡,错层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202408848651,此房满五年税少，带阁楼，位置好，精装使用面积大，,小区环境优美，绿树成荫，1k'm米长活水河-月亮河横穿其中，现拓宽并栽植水性植物，放养河鱼等。沿岸植栽垂柳、香樟等十几种苗木。该房源临河，高层享受沿河景观。小区是阳明房地产发展有限公司所开发，曾经获得过鲁班奖和白玉兰奖，品质过硬，户型多样。,房子是一个平层的大三房，双南一北直通的，客厅带一个大飘窗，主卧朝南带卫生间，次卧朝北，一梯两户。,这套房子产权清晰，没有贷款，没有户口，居家精装修，保养很好，基本可以拎包入住。,"小区门口有一兆韦德健身，世纪联华，公交车704总站，闵行2路，763,759,等。有淀浦河健身步道， 小公园，还有比宜德便利店，生活便利",门口有704的站点，水清路沿线有763-759-173-莘庄3路等，出行方便。交通地铁1号线，5号线，12号线 公交：704路线，莘庄3路路线，196路线。闵行21路,
298,房型方正，采光通风好，税费少，12号线虹莘路站,240,49454,"['闵行', '古美']",平吉一村,1室1厅1厨1卫,高楼层 (共6层),48.53㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202408935240,房型方正，采光通风好，税费少，12号线虹莘路站,"：
平吉一村：东龙茗路，南古龙路，西虹莘路，北新泾港，华城花苑、合成公寓、龙茗公寓，统称为平吉一村。小区多为94年，95年，99年的房子，小区南门有一条购物街基本满足生活所需，小区步行地铁12号线约八百米，旁边有银行，古美购物广场，交通和生活很便..",全明户型主卧室带阳台正气采光通风好  满五年税费少········,南有南方商城，友谊商城，中庚漫游城；北有万象城，星宝购物广场；西有怡丰城，万科广场；东有东兰休闲广场；古美生活购物广场 妇幼保健院，复旦大学附属儿科医院，复旦大学附属古美社区医院，第六人民医院。,"地铁：12号线虹莘路地铁站900米。 公交：122路,150路,152路,162路,171路,548路,700路,752路,753路,95路,953路，古美环线，沪松线，闵行3路，闵行8路 自驾：外环高速1.2公里，虹梅路高架4.4公里。",,
299,次新小区小户型，精装修，精品一房,560,87913,"['闵行', '金虹桥']",金鹰华庭一期,1室1厅1厨1卫,低楼层 (共13层),63.7㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,无抵押,共有,已上传房本照片,202408942393,次新小区小户型，老公房总价买次新小区，交通便利出行方便。,古北金鹰府位于上海市闵行金虹桥，由金鹰申集团有限公司建成，总建筑面积134286，总占地面积51018，共计房屋850户，其中18户为别墅，其余的都是约65平的一房，95平的两房（主力户型），126平的三房。小区物业公司为南京金鹰资产物业管理有限公司,医院：上海武警总队医院（三甲），闵行中医院，虹桥医院，社区卫生服务站；商.业：小区自带商.业街（待运营），三公里内由近及远有九州生活广场，金汇四季广场，花卉古玩城，森晟世洋国际广场，爱琴海购物公园&万象城，西郊百联，古北黄.金城道步行街等,公共交通：轨道交通10号线龙溪路站步行距离1400米（从小区东门口至地铁口），可方便到达虹桥枢纽，71路快速公交（无轨电车，专属车道，堪称路面地铁）剑河路站600米，途径中山公园、静安寺、人民广场等商圈到达外滩，自驾快速上延安高架，通达内中外环,,,
300,少有的边套联排，空间宽裕，业主诚售 花园美丽,1790,63792,"['闵行', '静安新城']",大上海国际花园,4室2厅1厨3卫,低楼层 (共4层),280.6㎡,复式,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202409645910,小区少有的联排在售，小区中间位置，位置安静，空间宽裕,小区是94-08年的纯商品房小区，小区一开始建设也是为了漕河泾的人才引进，所以整体人员素质还是很高的，小区还有一个2000平的中 心的大花园，您平常可以在这里散散步，晒晒太阳很是惬意。小区是闵行区较早的规划的商品房，户型好，楼间距大，道路宽敞。,旁边3公里有爱琴海，万象城，韩国街等商 业配套，医院是上海第六人民医院，属于三甲医院，小区距离地铁口500米,小区出门就是地铁九号线，开车上外环、中环也方便，近虹桥机场、火车站，但是不受影响,,,
301,此房满五年只有一套，非顶楼，自住保养,255,46979,"['闵行', '梅陇']",罗阳七村(华宝小区),2室1厅1厨1卫,高楼层 (共6层),54.28㎡,平层,54.28㎡,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409664021,地铁站800米+满五年只有一套+双南户型拒绝潮湿+非顶楼采光好,罗阳七村（华宝小区）是1993-1998年建成的房子，环境优美安静，绿化面积大，小区有南北花园，可以跳舞锻炼身体，配套设施齐全，交通便利，居住气息浓厚温馨。 2017年实施美丽家园工程，投入资金2700万元，车位相对宽松，近地铁一号线,此小区处于外环内，适合刚需上车年轻人居住，自住，近地铁，出行便利，首付少，税费少。关键是业主诚意卖,北边罗锦路空地在建商办公综合体 南面罗锦路菜市场便利店药店等配套一应俱全 西面有莲花国际百联南方商城中庚漫游城 住在这里幸福满满 距离外环路地铁站仅800米 一条街人间烟火,小区南门出来就是罗锦路，步行800米就可以到达1号线外环路地铁，门口小吃一条街，购物，买菜都很方便，公交有735路、957路、直达市区徐家汇、七宝老街、距S20 外环线1000米、虹梅南路中环2000米、出行便利,,
302,外环内 总价低 大三房 中间楼层 中间位置 业主诚售,340,43313,"['闵行', '梅陇']",朱行新四村,3室1厅1厨1卫,中楼层 (共5层),78.5㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409648236,总价低的三房户型正气格局合理位置好中楼层,小区位于闵行区莘朱路1760弄，梅陇朱行板块，内外环之间。 小区房龄在94-98年，共54幢，609户。 物业为上海虹梅物业管理有限公司。旁边生活配套成熟；外来车辆不可以入内，安保较好。,配套比较成熟优势:万辉国际广场，万锦国际广场，华光生活广场，食住行游购娱一应俱全(肯德基，麦当劳，星巴克，瑞幸咖啡，盒马生鲜，老盛昌汤包，四川老火锅，天都酒楼 佳木斯海鲜烧烤…... ),"近虹梅南路高架，出门上中环和外环，门口有十几趟的公交车，直达上海各处，其中闵行12路3站路到莲花路地铁站。 地铁:1号线莲花路地铁站2.0km,锦江乐园地铁站2.3km,外环路地铁站2.8km,15号线朱梅路，罗秀路地铁站1.6km",房子产权清晰，无户口，无抵押，干净清爽，目前房子处于出租状态，房东诚意出售。,,
303,西环一村两房双南好户型精装修可拎包入住,315,37292,"['闵行', '莘庄北广场']",西环一村,2室1厅1厨1卫,高楼层 (共6层),84.47㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409319313,一梯两户，景观楼层，采光充足，不靠马路，诚意出售！,"小区介绍：
小区是94年的房龄，是相对新一些的老公房，这个小区当时一般是政府部门的单位福利房，还有一部分是动迁分配房和商品房，小区环境是比较好的，绿化高，小区自带一个市一级园，道路宽敞，停车方便150元/月","交通：距 离1号线/5号线1.7公里左右，小区门口就是公交站，有166.700..莘庄2路，20路都可以坐的，出行很便捷。 2：配套：凯德龙之梦，彩生活广场，农工商supermarket，莘松菜市场 3：医疗：闵行center医院 4：银行：工商银行,建设银行","交通出行：
出小区南门旁就有公交车站，到莘庄地铁站很方便，1号线，5号线，在建嘉闵线三轨交，而且小区接近高架，很方便； 距离不 远还有闵行中 心医院，为二级甲等医院，医疗实力强大； 地铁站周 围还有凯德龙之梦、乐购c市等，而且交通方便，所以购物",,,
304,新上奥塞花园，双地铁口，精装修，南北三房，钥匙在手,1008,77218,"['闵行', '莘庄南广场']",奥塞花园,3室1厅1厨2卫,中楼层 (共14层),130.54㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,有抵押,共有,已上传房本照片,202409364550,奥塞花园，满五年唯Yi一套，税费少! ！ 飞机户型，南北直通，..,小区地处莘庄地铁南广场，是由东苑集团精心开发设计，商品房，中高层电梯房。该小区环境好绿化高达40% ，由9至14层的小高层住宅组成，楼房外墙统一使用灰色马赛克瓷砖贴封。生活配套设施齐全，交通方便，出小区门是地铁5号线春申站，春申塘绿地公园。,小区出门就是公园，老人小孩活动都比较方便，也给锻炼提供了方便 2，仲盛商城就是在小区出门口，购物游玩，小孩培训，里面都有，方便 3，一号线和五号线都在，多辆公交车就是在门口过，交通便捷 4，小区出门又银行，图书馆，城市剧院。,小区出门右转200米是5号线轻轨春申路地铁站，嘉闵线规划银都路起始站（路线已动工），银都路开车西2000米嘉闵高架银都路上下口，公交816路，徐闵线，虹桥4路，虹桥5路，自驾东2公里春申路上S4沪金高速，去往市区十分方便。,,,
305,两梯一户 开发商统一装修 巴黎岛风景一览眼底,1178,81943,"['闵行', '春申']",春申景城MIDTOWN,3室2厅1厨2卫,低楼层 (共30层),143.76㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,无抵押,非共有,已上传房本照片,202409028206,南北通格局，楼层好拎包入住，采光充足，两梯一户 安静,小区在整个春申板块属于品质高档小区，开发商统一精装，万科物业24小时巡逻查岗，居住安全。小区人车分流，绿化多，小桥流水，园林式小区。小区位置安静。适宜居住。每栋楼都有大堂，管家式管理。高层品质、尽情享受。紧靠莘庄繁华板块，未来可期,步行800米到大润发及华东医院（距离来源于百度地图），距离广场（北建华清广场、麦多广场）1.5公里。以三期为定点方圆一千米内公园、商场、中山医院（三甲）近在咫尺，交通配套一应俱全。目前在造（景城四期，梅隆办公区,公交线路有：156、162、闵行25、闵行137、25、735、873、莘车线、闵行3路、759路、闵行27，大润发专车等。 地铁：距离1号线莘庄地铁站2.2公里，莲花路地铁站2.4公里，5号线春申路地铁站2.7公里，距上海南站5.5公里（距离数据来源于百度地图）,,,
306,格局正规，可充分利用空间，低总价,205,23957,"['闵行', '浦江']",永康城锦宏苑,2室1厅1厨1卫,低楼层 (共18层),85.57㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,无抵押,非共有,已上传房本照片,202409555385,格局正规，可充分利用空间，低总价，利用率高，户型方正,小区是2015年的动迁房小区，房龄比较新，都带电梯，出行方便。绿化为35%以上，环境优美。车位充足，有地下车库。 适宜人群： 适合年轻人，老年人居住生活，小区环境保养好，小区楼距较宽，道路较宽，有人车分离通道，小区有花园。,方型正气，总价低，省力省时，厨卫全明，干湿分离，无浪费面积，利用率高,小区南面浦江万达广场，和山钢生活广场，两大商场包含餐饮，娱乐，健身，购物，培训机构，影院一体的大型商场。 工商银行，上海银行 大治河大型公园,,,
